(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1242, 535) (1487, 845) (1487, 535) (1732, 845)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1243, 547) (1488, 857) (1488, 547) (1733, 857)
(1243, 535) (1488, 845) (1488, 535) (1733, 845)
(1241, 535) (1486, 845) (1486, 535) (1731, 845)
(1242, 535) (1487, 845) (1487, 535) (1732, 845)
(1242, 534) (1487, 844) (1487, 534) (1732, 844)
(1241, 534) (1486, 844) (1486, 534) (1731, 844)
(1242, 533) (1487, 843) (1487, 533) (1732, 843)
(1242, 535) (1487, 845) (1487, 535) (1732, 845)
(1241, 534) (1486, 844) (1486, 534) (1731, 844)
(1241, 535) (1486, 845) (1486, 535) (1731, 845)
(1243, 537) (1488, 847) (1488, 537) (1733, 847)
(1241, 535) (1486, 845) (1486, 535) (1731, 845)
(1241, 535) (1486, 845) (1486, 535) (1731, 845)
(1242, 535) (1487, 845) (1487, 535) (1732, 845)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 536) (1486, 846) (1486, 536) (1731, 846)
(1241, 539) (1486, 849) (1486, 539) (1731, 849)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1242, 537) (1487, 847) (1487, 537) (1732, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 537) (1486, 847) (1486, 537) (1731, 847)
(1241, 538) (1486, 848) (1486, 538) (1731, 848)
(1227, 541) (1472, 851) (1472, 541) (1717, 851)
(1241, 540) (1486, 850) (1486, 540) (1731, 850)
